title,price,city,year,mileage,fuel,engine_cc,transmission,updated,url
Suzuki Cultus  2010 VXRi (CNG) for Sale,PKR 11.6 lacs,Karachi,2010,"50,000 km",LPG,1000 cc,Manual,Updated 20 minutes ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-karachi-10835017
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 43 lacs,Karachi,2017,"47,000 km",Petrol,1300 cc,Automatic,Updated 22 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-10724003
Suzuki Other  2005  for Sale,PKR 5 lacs,Karachi,2005,"80,000 km",Petrol,1000 cc,Manual,Updated 22 minutes ago,https://www.pakwheels.com/used-cars/suzuki-other-2005-for-sale-in-karachi-10835004
FAW V2  2017 VCT-i for Sale4.8/10,PKR 12.75 lacs,Karachi,2017,"52,573 km",Petrol,1300 cc,Manual,Updated 23 minutes ago,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-karachi-10640292
Toyota Corolla  2011 Altis Automatic 1.6 for Sale,PKR 30 lacs,Karachi,2011,"50,000 km",Petrol,1600 cc,Automatic,Updated 24 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-karachi-10834993
Suzuki Liana  2007 LXi Sport for Sale,PKR 11.45 lacs,Karachi,2007,"95,600 km",Petrol,1300 cc,Manual,Updated 27 minutes ago,https://www.pakwheels.com/used-cars/suzuki-liana-2007-for-sale-in-karachi-10834983
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 43 lacs,Karachi,2017,"47,000 km",Petrol,1300 cc,Automatic,Updated 22 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-10724003
FAW V2  2017 VCT-i for Sale4.8/10,PKR 12.75 lacs,Karachi,2017,"52,573 km",Petrol,1300 cc,Manual,Updated 23 minutes ago,https://www.pakwheels.com/used-cars/faw-v2-2017-for-sale-in-karachi-10640292
Suzuki Liana  2007 LXi Sport for Sale,PKR 11.45 lacs,Karachi,2007,"95,600 km",Petrol,1300 cc,Manual,Updated 27 minutes ago,https://www.pakwheels.com/used-cars/suzuki-liana-2007-for-sale-in-karachi-10834983
Honda Civic  2019 1.8 i-VTEC CVT for Sale9/10,PKR 52 lacs,Karachi,2019,"42,561 km",Petrol,1800 cc,Automatic,Updated 28 minutes ago,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-10820786
Toyota Raize  2020 XS for Sale,PKR 51 lacs,Karachi,2020,"67,500 km",Petrol,1000 cc,Automatic,Updated 30 minutes ago,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10834965
Toyota Corolla  2011 GLi 1.3 VVTi for Sale7.6/10,PKR 28 lacs,Karachi,2011,"179,360 km",Petrol,1300 cc,Manual,Updated 31 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-karachi-10815988
Toyota Vitz  2013 F 1.0 for Sale6/10,PKR 24.3 lacs,Karachi,2013,"169,102 km",Petrol,1000 cc,Automatic,Updated 34 minutes ago,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-karachi-10608014
Suzuki Cultus  2016 Limited Edition for Sale5.9/10,PKR 15 lacs,Karachi,2016,"90,833 km",Petrol,1000 cc,Manual,Updated 35 minutes ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2016-for-sale-in-karachi-10820088
Toyota Raize  2020 Z for Sale,PKR 60 lacs,Karachi,2020,"33,000 km",Petrol,1000 cc,Automatic,Updated 36 minutes ago,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10775513
Honda Civic  2017 1.8 i-VTEC CVT for Sale7.7/10,PKR 45 lacs,Karachi,2017,"89,605 km",Petrol,1800 cc,Automatic,Updated 38 minutes ago,https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10798258
Toyota Vitz  2013 F 1.0 for Sale7/10,PKR 27 lacs,Karachi,2013,"103,878 km",Petrol,1000 cc,Automatic,Updated 38 minutes ago,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-karachi-10795254
Daihatsu Mira  2022 L SA III for Sale,PKR 34.1 lacs,Karachi,2022,"50,731 km",Petrol,660 cc,Automatic,Updated 39 minutes ago,https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-karachi-10761619
Toyota Prius  2013 L 1.8 for Sale,PKR 34 lacs,Karachi,2013,"117,000 km",Hybrid,1800 cc,Automatic,Updated 28 minutes ago,https://www.pakwheels.com/used-cars/toyota-prius-2013-for-sale-in-karachi-10834978
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC for Sale,PKR 32.5 lacs,Karachi,2019,"96,000 km",Petrol,1300 cc,Manual,Updated 33 minutes ago,https://www.pakwheels.com/used-cars/honda-city-2019-for-sale-in-karachi-10834957
Toyota Aqua  2019  for Sale,PKR 65 lacs,Karachi,2019,"39,000 km",Hybrid,1500 cc,Automatic,Updated 34 minutes ago,https://www.pakwheels.com/used-cars/toyota-aqua-2019-for-sale-in-karachi-10834949
Daihatsu Hijet  2008 Special for Sale,PKR 14 lacs,Karachi,2008,"175,909 km",Petrol,660 cc,Automatic,Updated 35 minutes ago,https://www.pakwheels.com/used-cars/daihatsu-hijet-2008-for-sale-in-karachi-10834939
Toyota Fortuner  2023 GR-S for Sale,PKR 1.95 crore,Karachi,2023,"30,000 km",Diesel,2800 cc,Automatic,Updated 35 minutes ago,https://www.pakwheels.com/used-cars/toyota-fortuner-2023-for-sale-in-karachi-10834933
Suzuki Cultus  2011 VXRi (CNG) for Sale,PKR 14.25 lacs,Karachi,2011,"75,200 km",Petrol,1000 cc,Manual,Updated 36 minutes ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2011-for-sale-in-karachi-10834937
BYD Atto 3  2025 Advance for Sale,PKR 94 lacs,Karachi,2025,10 km,Electric,49.0 kWh,Automatic,Updated 42 minutes ago,https://www.pakwheels.com/used-cars/byd-atto-3-2025-for-sale-in-karachi-10834906
Honda BR-V  2020  for Sale8.8/10,PKR 41 lacs,Karachi,2020,"18,374 km",Petrol,1500 cc,Manual,Updated 43 minutes ago,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10788492
Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 42.5 lacs,Karachi,2020,"77,000 km",Petrol,1500 cc,Automatic,Updated 43 minutes ago,https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-karachi-10834780
Toyota Raize  2025 Z for Sale,PKR 61 lacs,Karachi,2025,"58,000 km",Petrol,1000 cc,Automatic,Updated 43 minutes ago,https://www.pakwheels.com/used-cars/toyota-raize-2025-for-sale-in-karachi-10834904
Suzuki Cultus  2010 VXRi for Sale4.7/10,PKR 10.5 lacs,Karachi,2010,"82,140 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-karachi-10751816
Daihatsu Hijet  2016 Cruise for Sale7.3/10,PKR 20.5 lacs,Karachi,2016,"92,306 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-hijet-2016-for-sale-in-karachi-10677840
KIA Stonic  2022 EX+ for Sale9.4/10,PKR 50.5 lacs,Karachi,2022,"29,339 km",Petrol,1400 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-karachi-10832772
Toyota Land Cruiser 6th (J100) Generation 2002 Cygnus for Sale,PKR 1.25 crore,Karachi,2002,"72,000 km",Petrol,4700 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2002-for-sale-in-karachi-10834874
Prince Pearl  2022 MT for Sale,PKR 10.7 lacs,Karachi,2022,"10,000 km",Petrol,800 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/prince-pearl-2022-for-sale-in-karachi-10810763
Honda Civic  2002 VTi Prosmatec 1.6 for Sale,PKR 15 lacs,Karachi,2002,"94,500 km",Petrol,1600 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-karachi-10834872
Honda BR-V  2020  for Sale8.8/10,PKR 41 lacs,Karachi,2020,"18,374 km",Petrol,1500 cc,Manual,Updated 43 minutes ago,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10788492
Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 42.5 lacs,Karachi,2020,"77,000 km",Petrol,1500 cc,Automatic,Updated 43 minutes ago,https://www.pakwheels.com/used-cars/honda-city-2020-for-sale-in-karachi-10834780
Suzuki Cultus  2010 VXRi for Sale4.7/10,PKR 10.5 lacs,Karachi,2010,"82,140 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2010-for-sale-in-karachi-10751816
Daihatsu Hijet  2016 Cruise for Sale7.3/10,PKR 20.5 lacs,Karachi,2016,"92,306 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-hijet-2016-for-sale-in-karachi-10677840
KIA Stonic  2022 EX+ for Sale9.4/10,PKR 50.5 lacs,Karachi,2022,"29,339 km",Petrol,1400 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/kia-stonic-2022-for-sale-in-karachi-10832772
Toyota Land Cruiser 6th (J100) Generation 2002 Cygnus for Sale,PKR 1.25 crore,Karachi,2002,"72,000 km",Petrol,4700 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2002-for-sale-in-karachi-10834874
Prince Pearl  2022 MT for Sale,PKR 10.7 lacs,Karachi,2022,"10,000 km",Petrol,800 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/prince-pearl-2022-for-sale-in-karachi-10810763
Honda BR-V  2020 i-VTEC S for Sale7.5/10,PKR 46.5 lacs,Karachi,2020,"26,941 km",Petrol,1500 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10692579
Daihatsu Boon  2006 1.0 CL for Sale6.7/10,PKR 17.5 lacs,Karachi,2006,"153,556 km",Petrol,1000 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-boon-2006-for-sale-in-karachi-10769092
Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,PKR 37 lacs,Karachi,2017,"98,000 km",Petrol,1300 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-karachi-10824448
Daihatsu Mira  2014 L for Sale7.2/10,PKR 20.5 lacs,Karachi,2014,"131,103 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-karachi-10832786
Toyota Vitz  2009 F 1.0 for Sale4.5/10,PKR 20.8 lacs,Karachi,2009,"166,538 km",Petrol,1000 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-karachi-10674803
Honda Civic 5th Generation 1995 EX for Sale,PKR 7.25 lacs,Karachi,1995,"150,000 km",Petrol,1500 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-civic-1995-for-sale-in-karachi-10834870
KIA Picanto  2020 1.0 AT for Sale,PKR 24.9 lacs,Karachi,2020,"48,000 km",Petrol,1000 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-karachi-10803818
Honda Civic 6th Generation 1998 EXi for Sale,PKR 10.95 lacs,Karachi,1998,"100,000 km",Petrol,1500 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-civic-1998-for-sale-in-karachi-10834861
Suzuki Alto  2014 ECO-S for Sale,PKR 20.85 lacs,Karachi,2014,"80,000 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2014-for-sale-in-karachi-10834854
Toyota Yaris Sedan  2025 GLI MT 1.3 for Sale,PKR 44.5 lacs,Karachi,2025,"14,000 km",Petrol,1300 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2025-for-sale-in-karachi-10547057
Range Rover Sport  2007 Supercharged 4.2 V8 for Sale,PKR 70 lacs,Karachi,2007,"93,000 km",Petrol,4200 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/range-rover-sport-2007-for-sale-in-karachi-10834801
Honda Fit  2013 Sporty Edition for Sale,PKR 33.5 lacs,Karachi,2013,"117,000 km",Petrol,1300 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-fit-2013-for-sale-in-karachi-10287323
Honda Civic Rebirth 2014 VTi Prosmatec 1.8 i-VTEC for Sale,PKR 34 lacs,Karachi,2014,"113,000 km",Petrol,1800 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-karachi-10834809
Honda City 5th (GM2) Generation 2010 1.3 i-VTEC for Sale,PKR 20 lacs,Karachi,2010,"140,000 km",Petrol,1300 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-karachi-10834793
Suzuki Cultus  2014 EURO II for Sale,PKR 13.2 lacs,Karachi,2014,"37,000 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-karachi-10834785
Suzuki Khyber  1997 Limited Edition for Sale,PKR 3.9 lacs,Karachi,1997,"3,000 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-khyber-1997-for-sale-in-karachi-10834784
Suzuki Cultus  2013 EURO II for Sale,PKR 12.9 lacs,Karachi,2013,"88,000 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-karachi-10834774
Suzuki Alto  2009 VXR for Sale,PKR 8.8 lacs,Karachi,2009,"145,000 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2009-for-sale-in-karachi-10834781
Suzuki Alto  2011 VXR for Sale,PKR 10.5 lacs,Karachi,2011,"1,234 km",Petrol,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-karachi-10834777
Toyota C-HR  2019 G-LED for Sale,PKR 83.5 lacs,Karachi,2019,"114,874 km",Hybrid,1800 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-10834768
Toyota Yaris Sedan  2021 ATIV X CVT 1.5 for Sale,PKR 45.3 lacs,Karachi,2021,"520,000 km",Petrol,1500 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2021-for-sale-in-karachi-10834761
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.8 crore,Karachi,2021,"72,000 km",Diesel,2800 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-10834750
Toyota Corolla  2022 Altis X Automatic 1.6 Special Edition for Sale,PKR 68.5 lacs,Karachi,2022,"27,000 km",Petrol,1600 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-10834744
Daihatsu Copen  2017 Robe S for Sale,PKR 34.25 lacs,Karachi,2017,"54,000 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-copen-2017-for-sale-in-karachi-10793286
Proton X70  2023 Premium FWD for Sale,PKR 68 lacs,Karachi,2023,"30,000 km",Petrol,1500 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/proton-x70-2023-for-sale-in-karachi-10380699
Daihatsu Copen  2017 Robe S for Sale,PKR 34.25 lacs,Karachi,2017,"54,000 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-copen-2017-for-sale-in-karachi-10793286
Hyundai Santa Fe  2024 Signature for Sale9.7/10,PKR 1.55 crore,Karachi,2024,"1,205 km",Hybrid,1600 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/hyundai-santa-fe-2024-for-sale-in-karachi-10790475
Toyota Vitz  2019 F 1.0 for Sale6.9/10,PKR 36 lacs,Karachi,2019,"115,163 km",Petrol,996 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-vitz-2019-for-sale-in-karachi-10790323
Mercedes Benz E Class  2005  for Sale,PKR 48 lacs,Karachi,2005,"66,000 km",Petrol,1800 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2005-for-sale-in-karachi-10754131
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale8.5/10,PKR 32 lacs,Karachi,2012,"103,710 km",Petrol,1800 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-karachi-10651963
Daihatsu Mira  2022 X SA lll for Sale8.3/10,PKR 36.5 lacs,Karachi,2022,"44,927 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-karachi-10638282
Suzuki Alto  2023 VXR for Sale8.6/10,PKR 25 lacs,Karachi,2023,"48,671 km",Petrol,660 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-karachi-10788437
Suzuki Alto  2020 VXL AGS for Sale7.7/10,PKR 25 lacs,Karachi,2020,"55,271 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2020-for-sale-in-karachi-10788122
Peugeot 2008  2022 Allure for Sale,PKR 54.75 lacs,Karachi,2022,"39,900 km",Petrol,1200 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/peugeot-2008-2022-for-sale-in-karachi-10821833
Toyota Prius  2008 G Touring Selection 1.5 for Sale,PKR 25.75 lacs,Karachi,2008,"178,000 km",Hybrid,1500 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-prius-2008-for-sale-in-karachi-10826935
Prince Pearl  2024 MT for Sale,PKR 14.75 lacs,Karachi,2024,"5,900 km",Petrol,800 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/prince-pearl-2024-for-sale-in-karachi-10806126
Proton X70  2022 Premium FWD for Sale,PKR 56.5 lacs,Karachi,2022,"44,000 km",Petrol,1500 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-karachi-10834677
Suzuki Alto  2022 VXL AGS for Sale,PKR 27.9 lacs,Karachi,2022,"25,500 km",Petrol,660 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-karachi-10834729
Suzuki Cultus  2005 VXR for Sale,PKR 6.5 lacs,Karachi,2005,1 km,LPG,1000 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2005-for-sale-in-karachi-10834716
Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 19.75 lacs,Karachi,2010,"100,000 km",Petrol,1300 cc,Manual,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-karachi-10834701
Honda Insight  2010 G for Sale,PKR 24.5 lacs,Karachi,2010,"160,000 km",Hybrid,1300 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/honda-insight-2010-for-sale-in-karachi-10644898
Toyota Yaris Sedan  2025 GLI CVT 1.3 for Sale,PKR 53 lacs,Karachi,2025,"3,200 km",Petrol,1300 cc,Automatic,Updated about 1 hour ago,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2025-for-sale-in-karachi-10834681
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale7.5/10,PKR 41.3 lacs,Karachi,2019,"90,490 km",Petrol,1300 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-10640056
Mercedes Benz C Class  2018 C180 Exclusive for Sale,PKR 1.5 crore,Karachi,2018,"48,200 km",Petrol,1600 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2018-for-sale-in-karachi-10617674
Suzuki Cultus  2018 VXR for Sale6.3/10,PKR 23 lacs,Karachi,2018,"95,984 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2018-for-sale-in-karachi-10815716
Toyota Vitz  2016 F 1.0 for Sale,PKR 32 lacs,Karachi,2016,"73,000 km",Petrol,1000 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-vitz-2016-for-sale-in-karachi-10834659
Suzuki Wagon R  2015 Stingray J Style for Sale,PKR 2.4 lacs,Karachi,2015,"79,500 km",Petrol,660 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2015-for-sale-in-karachi-10834663
Honda BR-V  2024 i-VTEC S for Sale9.9/10,PKR 69.85 lacs,Karachi,2024,"1,444 km",Petrol,1500 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/honda-br-v-2024-for-sale-in-karachi-10731725
Suzuki Wagon R  2016 VXR for Sale7.1/10,PKR 20.75 lacs,Karachi,2016,"52,183 km",Petrol,1000 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2016-for-sale-in-karachi-10775037
Toyota Corolla  2008 XLi VVTi for Sale,PKR 18 lacs,Karachi,2008,"165,000 km",Petrol,1300 cc,Manual,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-karachi-10834653
Toyota C-HR  2017 G-LED for Sale,PKR 57 lacs,Karachi,2017,"114,000 km",Hybrid,1800 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-karachi-10691626
Toyota Corolla  2019 GLi Automatic 1.3 VVTi for Sale7.5/10,PKR 41.3 lacs,Karachi,2019,"90,490 km",Petrol,1300 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-10640056
Mercedes Benz C Class  2018 C180 Exclusive for Sale,PKR 1.5 crore,Karachi,2018,"48,200 km",Petrol,1600 cc,Automatic,Updated about 2 hours ago,https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2018-for-sale-in-karachi-10617674
